Method,Count,ms
ffos,1,80.030711
ffos,1,72.328909
ffos,1,76.891626
ffos,1,76.643921
ffos,1,80.89401
ffos,1,83.266468
ffos,1,81.625859
ffos,1,77.662589
ffos,1,72.608543
ffos,1,79.419121
rdb,1,2.41217
rdb,1,2.362367
rdb,1,3.595592
rdb,1,2.355994
rdb,1,3.01108
rdb,1,1.945133
rdb,1,1.313712
rdb,1,2.034369
rdb,1,1.262062
rdb,1,1.252464
ffos,2,157.132463
ffos,2,146.326635
ffos,2,151.103956
ffos,2,158.838885
ffos,2,153.673271
ffos,2,149.646778
ffos,2,146.306189
ffos,2,152.622241
ffos,2,151.321906
ffos,2,152.1951
rdb,2,95.089608
rdb,2,49.780306
rdb,2,54.493769
rdb,2,55.788866
rdb,2,49.880237
rdb,2,50.195085
rdb,2,55.075379
rdb,2,55.913993
rdb,2,49.863533
rdb,2,55.249171
ffos,4,307.40916
ffos,4,290.644738
ffos,4,309.499825
ffos,4,306.094718
ffos,4,306.454942
ffos,4,356.298309
ffos,4,295.225856
ffos,4,302.999408
ffos,4,324.892167
ffos,4,306.984362
rdb,4,202.570042
rdb,4,243.020673
rdb,4,210.657168
rdb,4,147.991268
rdb,4,213.648188
rdb,4,145.843357
rdb,4,149.883963
rdb,4,198.981402
rdb,4,145.855748
rdb,4,154.539144
ffos,10,775.436678
ffos,10,759.169727
ffos,10,754.108472
ffos,10,759.603321
ffos,10,739.578996
ffos,10,749.838593
ffos,10,749.145003
ffos,10,840.996123
ffos,10,754.852821
ffos,10,761.269504
rdb,10,438.28989
rdb,10,628.07684
rdb,10,533.314456
rdb,10,440.908664
rdb,10,536.567673
rdb,10,536.40647
rdb,10,493.11434
rdb,10,536.063841
rdb,10,492.430619
rdb,10,492.940099
ffos,20,1505.178902
ffos,20,1522.264244
ffos,20,1534.377603
ffos,20,1620.857691
ffos,20,1529.227257
ffos,20,1532.152898
ffos,20,1517.750115
ffos,20,1514.013487
ffos,20,1768.953652
ffos,20,1532.391381
rdb,20,1073.324834
rdb,20,968.101345
rdb,20,1073.207883
rdb,20,1032.163691
rdb,20,928.154786
rdb,20,1079.03993
rdb,20,1092.775682
rdb,20,1014.869125
rdb,20,1173.991687
rdb,20,1030.969897
ffos,50,3832.08994
ffos,50,4220.468368
ffos,50,3856.391533
ffos,50,4112.854581
ffos,50,3833.310488
ffos,50,4007.219776
ffos,50,3843.338183
ffos,50,3842.164217
ffos,50,3812.018497
ffos,50,3935.670846
rdb,50,2816.072776
rdb,50,2632.919482
rdb,50,2647.425037
rdb,50,2921.689082
rdb,50,3030.030892
rdb,50,2706.286905
rdb,50,3310.743519
rdb,50,2599.599863
rdb,50,2959.543978
rdb,50,2671.761927
ffos,100,8011.679401
ffos,100,8090.046824
ffos,100,8124.625757
ffos,100,8078.851807
ffos,100,7988.544339
ffos,100,8025.847733
ffos,100,8099.622358
ffos,100,8031.767958
ffos,100,8011.485234
ffos,100,8166.646459
rdb,100,5472.262923
rdb,100,5121.678082
rdb,100,5469.981673
rdb,100,5707.981728
rdb,100,5429.653843
rdb,100,5416.153724
rdb,100,5667.056345
rdb,100,5711.54119
rdb,100,6045.611239
rdb,100,5660.421562
